序号,标题,URL,视频ID,类型,关键词,获取时间
9,震惊|网传习近平大限将至亲笔写下遗言？|叮嘱妻子彭丽媛女儿习明泽归隐山林远离北京？|甚至暗示接班人已经拟定好了？|究竟是真还是假呢？,https://www.youtube.com/watch?v=UFdoL713CJI&pp=ygUJ5Lmg5piO5rO9,UFdoL713CJI,watch,习明泽,2025-08-18 17:51:35
10,圣上一场家宴，搅动海外“听床届”春水：习明泽要开启自己的上位之旅？说这话的对中国政治没有最基本的了解——顺便聊聊目前谁有储君的希望｜习近平｜彭丽媛｜卢卡申科｜,https://www.youtube.com/watch?v=cg6aRIzpcxA&pp=ygUJ5Lmg5piO5rO9,cg6aRIzpcxA,watch,习明泽,2025-08-18 17:51:35
11,【公子時評】喊话习明泽！恶俗维基案24人被秘密刑讯，牛腾宇惨遭酷刑！90后小伙成了政治替罪羊？你无动于衷，还是人吗？,https://www.youtube.com/watch?v=8SHrUR_gSd0&pp=ygUJ5Lmg5piO5rO9,8SHrUR_gSd0,watch,习明泽,2025-08-18 17:51:35
12,习明泽大闹中南海，情史狗血剧胜过胡海青（胡锦涛女儿），两朝公主，相同的爱情，不同的命运！《建民論推墙2731》,https://www.youtube.com/watch?v=f51DhB74OiE&pp=ygUJ5Lmg5piO5rO9,f51DhB74OiE,watch,习明泽,2025-08-18 17:51:35
13,習明澤原來長這樣！現身外交晚宴真容曝光 公主出馬亮相要接班？【#環球大戰線】20250611-P4 葉思敏 施孝瑋 彭華幹 聶建中,https://www.youtube.com/watch?v=ubjcJZm3YDI&pp=ygUJ5Lmg5piO5rO9,ubjcJZm3YDI,watch,习明泽,2025-08-18 17:51:35
14,习明泽传闻在美生活「犯中共大忌」？习近平急带女儿现身「辟谣」怕被斗掉？ -【关键时刻】 张炤和,https://www.youtube.com/watch?v=FWg0BL2RWfc&pp=ygUJ5Lmg5piO5rO9,FWg0BL2RWfc,watch,习明泽,2025-08-18 17:51:35
15,习近平女儿习明泽被曝与白俄总统共进晚餐；中国爆发史上最大数据泄露案；加州再爆发大规模反移民执法抗议【雪花每日新闻】,https://www.youtube.com/watch?v=pb2-f9B1_PM&pp=ygUJ5Lmg5piO5rO9,pb2-f9B1_PM,watch,习明泽,2025-08-18 17:51:35
16,打假习明泽！习近平的独生女露面了？体制内小粉红冒充公主疯狂炫富，已经Low成了高级黑！,https://www.youtube.com/watch?v=n2VbGJUD5cQ&pp=ygUJ5Lmg5piO5rO9,n2VbGJUD5cQ,watch,习明泽,2025-08-18 17:51:35
17,習明澤現身了！　習有意栽培女兒接班？｜靠鏡看中國｜#shorts #鏡新聞,https://www.youtube.com/shorts/YcTVt8CJ1MI,YcTVt8CJ1MI,shorts,习明泽,2025-08-18 17:51:35
18,习明泽出席习近平家宴即将即位？明泽公主会有哪些结局？,https://www.youtube.com/watch?v=wSbd6_jjd14&pp=ygUJ5Lmg5piO5rO9,wSbd6_jjd14,watch,习明泽,2025-08-18 17:51:35
19,習明澤原來長這樣！現身外交晚宴真容曝光 公主出馬亮相要接班？【#環球大戰線】20250611-P4 葉思敏 施孝瑋 彭華幹 聶建中,https://www.youtube.com/watch?v=92kbGbC0lzM&pp=ygUJ5Lmg5piO5rO90gcJCa0JAYcqIYzv,92kbGbC0lzM,watch,习明泽,2025-08-18 17:51:35
20,【每日必看】習宴白俄總統 女兒習明澤首陪同｜普丁核威懾 轟炸機升空 20250612｜辣晚報,https://www.youtube.com/watch?v=VEXS807ADtI&pp=ygUJ5Lmg5piO5rO9,VEXS807ADtI,watch,习明泽,2025-08-18 17:51:35
1,低調豪門婚宴畫面曝光 薄瓜瓜致詞:爸媽忍辱負重「為大局犧牲」｜TVBS新聞 @TVBSNEWS01,https://www.youtube.com/watch?v=_fXj2kAunD0&pp=ygUJ6JaE55Oc55Oc,_fXj2kAunD0,watch,薄瓜瓜,2025-08-18 17:52:15
2,薄熙來因接班惹禍上身? 薄瓜瓜罕見談政治:薄習兩家不曾有過節｜TVBS新聞,https://www.youtube.com/watch?v=92ZEhPeV7ZM&pp=ygUJ6JaE55Oc55Oc,92ZEhPeV7ZM,watch,薄瓜瓜,2025-08-18 17:52:15
3,红色豪门的狗血恩怨：台湾女婿薄瓜瓜,https://www.youtube.com/watch?v=SFcmATj4VbQ&pp=ygUJ6JaE55Oc55Oc,SFcmATj4VbQ,watch,薄瓜瓜,2025-08-18 17:52:15
4,完整复原薄熙来庭审最后阶段动情自辩：“请检察人员不要侮辱我们薄家的家风！”,https://www.youtube.com/watch?v=k3xTTWcCZLs&pp=ygUJ6JaE55Oc55Oc,k3xTTWcCZLs,watch,薄瓜瓜,2025-08-18 17:52:15
5,薄案审判续篇 - 薄瓜瓜,https://www.youtube.com/watch?v=NFIBXjrQ35E&pp=ygUJ6JaE55Oc55Oc,NFIBXjrQ35E,watch,薄瓜瓜,2025-08-18 17:52:15
6,週六低調完婚! 薄瓜瓜夫妻甜蜜享受2人世界 婚宴現場戒備森嚴! 許惠瑜一身絕美中式旗袍亮相│記者 蔡宥嫻 張浩譯｜台灣要聞20241124｜三立iNEWS,https://www.youtube.com/watch?v=l5G4o6wdQjM&pp=ygUJ6JaE55Oc55Oc,l5G4o6wdQjM,watch,薄瓜瓜,2025-08-18 17:52:15
7,【精華】薄瓜瓜岳父低調現身... 薄熙來之子將成「台灣女婿」情定宜蘭羅東博愛醫院千金 未婚妻親友對於婚事 三緘其口保密到家 │新聞一把抓20241116│三立新聞台,https://www.youtube.com/watch?v=MNpDiUy787k&pp=ygUJ6JaE55Oc55Oc0gcJCa0JAYcqIYzv,MNpDiUy787k,watch,薄瓜瓜,2025-08-18 17:52:15
8,低調豪門婚宴畫面曝光 薄瓜瓜致詞:爸媽忍辱負重「為大局犧牲」｜TVBS新聞,https://www.youtube.com/watch?v=uwDP79ReiGM&pp=ygUJ6JaE55Oc55Oc,uwDP79ReiGM,watch,薄瓜瓜,2025-08-18 17:52:15
9,薄熙來因接班惹禍上身? 薄瓜瓜罕見談政治:薄習兩家不曾有過節｜TVBS新聞 @TVBSNEWS02,https://www.youtube.com/watch?v=8IN4PidlRoE&pp=ygUJ6JaE55Oc55Oc0gcJCa0JAYcqIYzv,8IN4PidlRoE,watch,薄瓜瓜,2025-08-18 17:52:15
10,老王来了·奇谈 | 五猖兵马，眼见为实验真伪，鬼上身与招魂，玄学故事,https://www.youtube.com/watch?v=BTdE5dWf7v8&pp=ygUJ6JaE55Oc55Oc,BTdE5dWf7v8,watch,薄瓜瓜,2025-08-18 17:52:15
11,时事大家谈：薄瓜瓜台湾婚礼替父母喊冤，薄熙来夫妇为大局“忍辱负重”？,https://www.youtube.com/watch?v=4j-_9f-lYHo&pp=ygUJ6JaE55Oc55Oc,4j-_9f-lYHo,watch,薄瓜瓜,2025-08-18 17:52:15
12,週六低調完婚! 薄瓜瓜夫妻甜蜜享受2人世界 婚宴現場戒備森嚴! 許惠瑜一身絕美中式旗袍亮相│記者 蔡宥嫻 張浩譯│新聞一把抓20241124│三立新聞台,https://www.youtube.com/watch?v=2MWL9kGpCks&pp=ygUJ6JaE55Oc55Oc,2MWL9kGpCks,watch,薄瓜瓜,2025-08-18 17:52:15
13,柴静回应“薄瓜瓜”：薄熙来在打黑中应该负什么责任？我亲历的重庆打黑,https://www.youtube.com/watch?v=rfEXbAuzKPk&pp=ygUJ6JaE55Oc55Oc,rfEXbAuzKPk,watch,薄瓜瓜,2025-08-18 17:52:15
14,低調豪門婚宴畫面曝光 薄瓜瓜致詞:爸媽忍辱負重「為大局犧牲」｜TVBS新聞 @TVBSNEWS02,https://www.youtube.com/watch?v=04dThhJS3is&pp=ygUJ6JaE55Oc55Oc,04dThhJS3is,watch,薄瓜瓜,2025-08-18 17:52:15
15,薄瓜瓜娶宜蘭望族千金! 中國風婚宴畫面曝光│記者 游任博 江文賢│台灣要聞20241128│三立iNEWS,https://www.youtube.com/watch?v=FKSh8BMUM7I&pp=ygUJ6JaE55Oc55Oc,FKSh8BMUM7I,watch,薄瓜瓜,2025-08-18 17:52:15
16,薄瓜瓜成宜蘭女婿 岳父.大舅子低調不回應｜TVBS新聞 @TVBSNEWS01,https://www.youtube.com/watch?v=U3mlM6a2D-Y&pp=ygUJ6JaE55Oc55Oc,U3mlM6a2D-Y,watch,薄瓜瓜,2025-08-18 17:52:15
17,🔴⚫《红朝魔獸 ──谷開來的真實故事》 作者：王華；#中共 #薄熙来,https://www.youtube.com/watch?v=5L7yQtYsTEs&pp=ygUJ6JaE55Oc55Oc,5L7yQtYsTEs,watch,薄瓜瓜,2025-08-18 17:52:15
18,習近平女兒習明澤的神秘面紗終於揭開！作為父親的宣傳主管，一同訪問東南亞三國,https://www.youtube.com/watch?v=AFT7bzuJGp4&pp=ygUJ6JaE55Oc55Oc,AFT7bzuJGp4,watch,薄瓜瓜,2025-08-18 17:52:15
19,薄一波：中共第一奸相｜薄一波和习仲勋谁厉害｜薄一波与习仲勋｜薄一波家族｜薄一波文革｜薄一波采访｜胡耀邦｜薄一波讲话｜阎锡山｜薄一波逝世｜薄一波薄熙来｜薄一波儿子｜胡耀邦下台原因｜中共内斗｜中共秘闻,https://www.youtube.com/watch?v=6GQAftxvl1U&pp=ygUJ6JaE55Oc55Oc,6GQAftxvl1U,watch,薄瓜瓜,2025-08-18 17:52:15
20,薄瓜瓜婚礼致辞曝光！（完整版）公开替薄熙来喊冤 - 父亲忍辱负重，为国牺牲？ 国台办回应：祝福！,https://www.youtube.com/watch?v=C6E8q2Mj43Y&pp=ygUJ6JaE55Oc55Oc,C6E8q2Mj43Y,watch,薄瓜瓜,2025-08-18 17:52:15
21,週六低調完婚! 薄瓜瓜夫妻甜蜜享受2人世界 婚宴現場戒備森嚴! 許惠瑜一身絕美中式旗袍亮相｜94要賺錢,https://www.youtube.com/watch?v=GtTl_fx1hQE&pp=ygUJ6JaE55Oc55Oc,GtTl_fx1hQE,watch,薄瓜瓜,2025-08-18 17:52:15
22,薄瓜瓜罕見發長文為父母抱屈稱「薄習兩家不曾有過節」　一句「中國台北」恐害陸生團喊卡復旦女大生哭了!｜新聞 樺 重點PODCAST,https://www.youtube.com/watch?v=g-TgJUKXx6o&pp=ygUJ6JaE55Oc55Oc,g-TgJUKXx6o,watch,薄瓜瓜,2025-08-18 17:52:15
23,瓜瓜救母心切中了埋伏｜纵身跃入洼地粪坑｜回忆薄熙来王立军大粪坑的高光时刻,https://www.youtube.com/watch?v=nAE7wD5y7Ew&pp=ygUJ6JaE55Oc55Oc,nAE7wD5y7Ew,watch,薄瓜瓜,2025-08-18 17:52:15
1,薄一波：中共第一奸相｜薄一波和习仲勋谁厉害｜薄一波与习仲勋｜薄一波家族｜薄一波文革｜薄一波采访｜胡耀邦｜薄一波讲话｜阎锡山｜薄一波逝世｜薄一波薄熙来｜薄一波儿子｜胡耀邦下台原因｜中共内斗｜中共秘闻,https://www.youtube.com/watch?v=6GQAftxvl1U&pp=ygUJ6JaE5LiA5rOi,6GQAftxvl1U,watch,薄一波,2025-08-18 17:52:55
2,薄一波对邓小平讲：事不过三，你干掉了华国锋、干掉了胡耀邦、干掉了赵紫阳，再干就不象话了【李锐转述】,https://www.youtube.com/shorts/FODWaAZNhcQ,FODWaAZNhcQ,shorts,薄一波,2025-08-18 17:52:55
3,“中共八老”中的钉子户 —— 薄一波其人其事（上）,https://www.youtube.com/watch?v=a_7kV4UdWak&pp=ygUJ6JaE5LiA5rOi,a_7kV4UdWak,watch,薄一波,2025-08-18 17:52:55
4,中共元老薄一波家族 #薄一波 #薄熙来 #谷开来 #薄瓜瓜 #许惠瑜,https://www.youtube.com/watch?v=58-Z9quTH60&pp=ygUJ6JaE5LiA5rOi,58-Z9quTH60,watch,薄一波,2025-08-18 17:52:55
5,江泽民、李鹏、杨尚昆、薄一波等慰问邓小平夫人卓琳及子女邓朴方、邓榕、邓楠、邓林等,https://www.youtube.com/watch?v=kIBeTyfr7FY&pp=ygUJ6JaE5LiA5rOi,kIBeTyfr7FY,watch,薄一波,2025-08-18 17:52:55
6,【太子党秘辛】陈云诞辰，太子党大聚会；薄一波胡耀邦各家族到齐；习仲勋当年在陕北死里逃生；陈云秘书许永跃与国学大师南怀瑾的渊源；许永跃与王岐山秘书董宏的兄弟情；李铁映父亲李维汉与邓小平的夺妻之恨,https://www.youtube.com/watch?v=cLaan6_2psg&pp=ygUJ6JaE5LiA5rOi,cLaan6_2psg,watch,薄一波,2025-08-18 17:52:55
7,【珍贵原声】薄熙来之父薄一波亲口讲述周恩来被迫不得不做出自我检查的经历，讲述毛泽东当场严厉批判周恩来的情景！【下方附送《薄熙来传记》海外无删节版本电子书PDF下载获取地址】,https://www.youtube.com/watch?v=DKwaOxiR5Ps&pp=ygUJ6JaE5LiA5rOi,DKwaOxiR5Ps,watch,薄一波,2025-08-18 17:52:55
8,薄熙來獨特政治魅力 連中美建交大佬都讚許 紅一代竟是薄一波 中共紅色血脈重量級人物 #shorts,https://www.youtube.com/shorts/_mPwNpkB5U8,_mPwNpkB5U8,shorts,薄一波,2025-08-18 17:52:55
9,"""紅色血脈""第三代! 揭密薄瓜瓜顯赫家世 政壇紅星一夕塌樓! 薄熙來遭重判無期徒刑│記者 劉玨妤│國際關鍵字20241115│三立iNEWS",https://www.youtube.com/watch?v=XLxWLUy3Kqk&pp=ygUJ6JaE5LiA5rOi,XLxWLUy3Kqk,watch,薄一波,2025-08-18 17:52:55
